filepath,true_label,true_class,pred_label,pred_class,max_prob,correct
train/train\Яблоки зелёные\48188\67c62fda657945f787148316de4beb38.jpg,13,Яблоки зелёные,1,Бананы,0.9921,False
train/train\Морковь\2138999\4ada3e16f5c74237bf6aff006fa663a3.jpg,10,Морковь,8,Лук,0.9901,False
train/train\Груши\50911\ea5c2acd20394155b5e86d6cad66cc9f.jpg,2,Груши,13,Яблоки зелёные,0.9888,False
train/train\Апельсин\60526\fe49a034452d412c9a93fddf29718f19.jpg,0,Апельсин,9,Мандарины,0.9875,False
train/train\Апельсин\60526\5c4b658b8799460db4b2076eaea5ef2d.jpg,0,Апельсин,9,Мандарины,0.9874,False
train/train\Картофель\3953590\e31c5961f641452c91b889410d6ef9a3.jpg,5,Картофель,8,Лук,0.9859,False
train/train\Яблоки красные\4271772\aa20992df16b4ceb9ab67e913d16cd9d.jpg,14,Яблоки красные,8,Лук,0.9856,False
train/train\Яблоки красные\4271772\151509d29e6645efba38fdaee18999f5.jpg,14,Яблоки красные,8,Лук,0.9846,False
train/train\Апельсин\60526\4a040b207ac24a1785428402f461858f.jpg,0,Апельсин,9,Мандарины,0.9841,False
train/train\Картофель\3953590\47a42f9866df4488b1966d8b6657f8dc.jpg,5,Картофель,8,Лук,0.9769,False
train/train\Яблоки красные\807\1abcf73875904c10b97f9cf162bc1c99.jpg,14,Яблоки красные,7,Лимон,0.9731,False
train/train\Апельсин\60526\0c81acafd97f4de3944dbdcecec05a1a.jpg,0,Апельсин,9,Мандарины,0.972,False
train/train\Яблоки красные\48637\1d7cb39ed3e340f98ddcd8c7804bf553.jpg,14,Яблоки красные,9,Мандарины,0.97,False
train/train\Томаты\4221768\c51af18ec1eb4bbf81354659e5814f28.jpg,12,Томаты,14,Яблоки красные,0.9673,False
train/train\Груши\57165\c819e4cfcc704ed5b06f27a9273b31dd.jpg,2,Груши,4,Капуста,0.9661,False
train/train\Томаты\4221768\40d9ce0f913a4b3abbd749ceac9508da.jpg,12,Томаты,14,Яблоки красные,0.961,False
train/train\Яблоки зелёные\5793\b27bacf209414d5988bed31f460757cb.jpg,13,Яблоки зелёные,3,Кабачки,0.959,False
train/train\Лук\197\8643867638404f23bd2b17ba8af94612.jpg,8,Лук,10,Морковь,0.9576,False
train/train\Груши\50911\49fc3c38a2374687a0b966887ba1ed7b.jpg,2,Груши,11,Огурцы,0.9572,False
train/train\Картофель\3953590\038d045789c44017a967e59bbdcc8c9a.jpg,5,Картофель,10,Морковь,0.9558,False
