filepath,true_label,true_class,pred_label,pred_class,max_prob,correct
train/train\Яблоки зелёные\5793\3f1eb072bfb94c90a5939ba25424a6ab.jpg,13,Яблоки зелёные,3,Кабачки,0.997,False
train/train\Картофель\127\edd855e74d9d48d3a12dd204273a3a52.jpg,5,Картофель,6,Киви,0.9949,False
train/train\Лимон\3294954\5ede202982834645903ebc54eb0afa34.jpg,7,Лимон,3,Кабачки,0.9927,False
train/train\Яблоки красные\807\32776374f39c4cf98b63f041e3d2e972.jpg,14,Яблоки красные,13,Яблоки зелёные,0.9921,False
train/train\Морковь\2138999\9997c75618f24c6ea07dc12de920eb96.jpg,10,Морковь,8,Лук,0.9919,False
train/train\Морковь\2138999\748628348c44475993da6633f9b45f97.jpg,10,Морковь,8,Лук,0.9916,False
train/train\Морковь\2138999\b965c7a84f5c42f69b0a860e5a8bf27a.jpg,10,Морковь,8,Лук,0.9908,False
train/train\Томаты\202\17d4cf88d04a4749be054ad3ab5a9da7.jpg,12,Томаты,9,Мандарины,0.9903,False
train/train\Морковь\2138999\0729a20854dd4e1496a63586197432c6.jpg,10,Морковь,5,Картофель,0.9902,False
train/train\Мандарины\47642\cfb6c006e38a40d2a4ffa3b28899a996.jpg,9,Мандарины,14,Яблоки красные,0.989,False
train/train\Киви\78647\0f26902374a544b9896304cccd076b1d.jpg,6,Киви,5,Картофель,0.9882,False
train/train\Морковь\2138999\a721e39a6c3f4d0f9054458576491e3d.jpg,10,Морковь,5,Картофель,0.9876,False
train/train\Яблоки зелёные\48188\83fcefd6e3f44d38965dd0fb1a64fc82.jpg,13,Яблоки зелёные,7,Лимон,0.9869,False
train/train\Бананы\809\f198e862c1774ac1bbe9a9a2034269dd.jpg,1,Бананы,13,Яблоки зелёные,0.9867,False
train/train\Киви\78647\bd83ae7da2f046bea3035525b09d0c04.jpg,6,Киви,5,Картофель,0.9852,False
train/train\Яблоки зелёные\4125676\2c88037c110548c2be2b652a8d970a54.jpg,13,Яблоки зелёные,14,Яблоки красные,0.9848,False
train/train\Томаты\202\a6c679c573144747903c50e529a041c7.jpg,12,Томаты,14,Яблоки красные,0.9846,False
train/train\Картофель\3953590\95aaaa8151604f099a6eee63c6a44581.jpg,5,Картофель,6,Киви,0.9823,False
train/train\Мандарины\47642\67e87f550bc24d14b89577129edc4d5d.jpg,9,Мандарины,0,Апельсин,0.9791,False
train/train\Яблоки зелёные\48188\8ae48dc39a3b42e7bba670b6987dd4f0.jpg,13,Яблоки зелёные,7,Лимон,0.9757,False
train/train\Мандарины\47642\9290e4757b7d4d929bcc80fdd62496b1.jpg,9,Мандарины,0,Апельсин,0.975,False
train/train\Мандарины\53235\1837b2e074e94389abc612998220beed.jpg,9,Мандарины,0,Апельсин,0.9743,False
train/train\Томаты\4221768\deee86d5bcb145de8a84e2c982e6dafc.jpg,12,Томаты,9,Мандарины,0.97,False
train/train\Апельсин\60526\969011e7d43e4afb8bb764fc3003b428.jpg,0,Апельсин,9,Мандарины,0.9698,False
train/train\Мандарины\47642\282aed6edeeb4678a0c30d8afbfb514f.jpg,9,Мандарины,0,Апельсин,0.9671,False
train/train\Апельсин\60619\dbb68431ece0402da1a0a368ec2f2c7d.jpg,0,Апельсин,9,Мандарины,0.967,False
train/train\Яблоки красные\807\bbfd9c117cc546d9bd33c8b64421df72.jpg,14,Яблоки красные,9,Мандарины,0.9645,False
train/train\Лимон\3294954\e9219ccd3dda4144a3cb3e60e8ff11b5.jpg,7,Лимон,2,Груши,0.962,False
train/train\Лук\18387\c77e8bd9c2314d4d875b62a41f934788.jpg,8,Лук,14,Яблоки красные,0.9618,False
train/train\Яблоки зелёные\5793\96c259cb25fb4cb0abe1fe73baf5d4df.jpg,13,Яблоки зелёные,3,Кабачки,0.9616,False
train/train\Картофель\3953590\5cb1eadbe4274648b140a2e6270dbc8a.jpg,5,Картофель,8,Лук,0.9516,False
train/train\Томаты\202\d5b3490f31a748059de022f606a89a5f.jpg,12,Томаты,14,Яблоки красные,0.9478,False
train/train\Лук\197\a0aab7339a8e41ef9f955a6b22316796.jpg,8,Лук,14,Яблоки красные,0.9434,False
train/train\Киви\78647\821b8d2b8fdd40dc9722cb5f5d2abecc.jpg,6,Киви,5,Картофель,0.9422,False
train/train\Бананы\809\8ff9495f6cb247509a2553248d3eba79.jpg,1,Бананы,14,Яблоки красные,0.9401,False
train/train\Яблоки красные\4271772\7bea3a070f4b45de813e4d276d1b2e69.jpg,14,Яблоки красные,12,Томаты,0.9309,False
train/train\Лук\197\aa2f27baba3a4ac48598de25ee72f3b4.jpg,8,Лук,5,Картофель,0.929,False
train/train\Яблоки красные\807\9a4f7a5a7d6541dd870cff861fa9329a.jpg,14,Яблоки красные,9,Мандарины,0.9194,False
train/train\Картофель\3953590\8c54ffe2841b4bf794cfa41bde441635.jpg,5,Картофель,8,Лук,0.916,False
train/train\Апельсин\60619\40d913bd1b5642d88225ed480d3c9d29.jpg,0,Апельсин,9,Мандарины,0.9132,False
train/train\Груши\50911\e7a0ea7df2974b43b09f9f292164c2f1.jpg,2,Груши,13,Яблоки зелёные,0.8748,False
train/train\Яблоки красные\807\b5d99f4821fc414c95da35bed9669758.jpg,14,Яблоки красные,0,Апельсин,0.8746,False
train/train\Яблоки зелёные\5793\ba0945059a6540aab800897014e09df5.jpg,13,Яблоки зелёные,3,Кабачки,0.8679,False
train/train\Морковь\2138999\c8615bfa896546b8990a79f74322876a.jpg,10,Морковь,8,Лук,0.8659,False
train/train\Картофель\31893\4daa20865a6d4804a3ef7b4940e26bfe.jpg,5,Картофель,11,Огурцы,0.8567,False
train/train\Яблоки зелёные\48188\527163cbd9fc42089dd1b3ff2374ad69.jpg,13,Яблоки зелёные,14,Яблоки красные,0.8561,False
train/train\Яблоки красные\807\bba831a5a3a54c7bb1e54ecfeb75636d.jpg,14,Яблоки красные,12,Томаты,0.8378,False
train/train\Лимон\3294954\11b0f65bc02a412c8cd3f6cd255443cd.jpg,7,Лимон,0,Апельсин,0.8353,False
train/train\Капуста\48655\8ad9173b5a744b8980ed901fc106d06d.jpg,4,Капуста,11,Огурцы,0.7927,False
train/train\Томаты\202\93c4c149aa2b491f849123be80984649.jpg,12,Томаты,14,Яблоки красные,0.7918,False
train/train\Томаты\202\a8d4194e82664997897493efe7cac80e.jpg,12,Томаты,14,Яблоки красные,0.7816,False
train/train\Мандарины\47642\4dc747895d494019b8dbddce47b3efa2.jpg,9,Мандарины,12,Томаты,0.7805,False
train/train\Томаты\202\f060b921e04241918eb7d0ab35ee8b9e.jpg,12,Томаты,14,Яблоки красные,0.7715,False
train/train\Морковь\2138999\4d53f4614baf422f91f9a0cec73f8b4f.jpg,10,Морковь,8,Лук,0.7599,False
train/train\Бананы\809\beb49b46c31e4432bf0120052ee83519.jpg,1,Бананы,13,Яблоки зелёные,0.7458,False
train/train\Томаты\202\ca5bfc6e359441bca0b20e11bc770afe.jpg,12,Томаты,14,Яблоки красные,0.7348,False
train/train\Картофель\3953590\934fe79e284a41c0acb5c79cd6e67402.jpg,5,Картофель,6,Киви,0.701,False
train/train\Лук\197\a882f1cec4e04c57ad2f31b7d96b9f33.jpg,8,Лук,5,Картофель,0.6686,False
train/train\Картофель\3953590\80f80e417059466597623e117fbf1e06.jpg,5,Картофель,8,Лук,0.631,False
train/train\Яблоки красные\807\4bafde101d34443c9d84664b4b0bf839.jpg,14,Яблоки красные,0,Апельсин,0.6016,False
train/train\Морковь\2138999\3ef3abca76a745e491482d414856b34e.jpg,10,Морковь,8,Лук,0.5987,False
train/train\Яблоки красные\807\e556135b71a0493ab426f8603e27a7f7.jpg,14,Яблоки красные,8,Лук,0.5796,False
train/train\Лимон\3294954\d15dacd1fac44830b202a37ba4c9c81c.jpg,7,Лимон,11,Огурцы,0.5712,False
train/train\Мандарины\47642\547889b6f87048328b779977ea5cc186.jpg,9,Мандарины,0,Апельсин,0.4978,False
train/train\Груши\50911\3085190c154a46eda0a9f763bd9d1c84.jpg,2,Груши,14,Яблоки красные,0.3384,False
train/train\Капуста\198\09155ed87a99422390c8bf28b294db9d.jpg,4,Капуста,0,Апельсин,0.307,False
