filepath,true_label,true_class,pred_label,pred_class,max_prob,correct
train/train\Томаты\4221768\a6a3875d216d4a34bfeb069e18fbd3c7.jpg,12,Томаты,14,Яблоки красные,0.9874,False
train/train\Апельсин\60619\879920ad062e4b84b8cf00a0f41fcbb1.jpg,0,Апельсин,9,Мандарины,0.9873,False
train/train\Мандарины\47642\6b1f9b84fd24415dbfad81aa4dbb1e95.jpg,9,Мандарины,14,Яблоки красные,0.9845,False
train/train\Мандарины\34592\b961c1c031414293a155f87976527260.jpg,9,Мандарины,0,Апельсин,0.9833,False
train/train\Яблоки красные\807\8d8691c3af5f4f9d84064e801cce50f8.jpg,14,Яблоки красные,13,Яблоки зелёные,0.9827,False
train/train\Мандарины\34592\310b5f65084f4ee19f7f1e53c11778b0.jpg,9,Мандарины,0,Апельсин,0.9817,False
train/train\Томаты\202\de47235baacf4b299100d81dc142f7a0.jpg,12,Томаты,14,Яблоки красные,0.9741,False
train/train\Морковь\2138999\81b8d9e4cb834a12a1754446b558130f.jpg,10,Морковь,11,Огурцы,0.9436,False
train/train\Лук\197\66ceff312663406fab40ec668a2480d8.jpg,8,Лук,9,Мандарины,0.9205,False
train/train\Киви\78647\b05e89d1cff8447ba2da9250570c3f49.jpg,6,Киви,5,Картофель,0.9017,False
train/train\Яблоки зелёные\48188\e99cf84fdf064ecb86c3db4acdf9a623.jpg,13,Яблоки зелёные,2,Груши,0.894,False
train/train\Лук\197\e90f2720d31f43569bb5b65290aac9b1.jpg,8,Лук,10,Морковь,0.8863,False
train/train\Яблоки красные\807\8cdc49464e8148f0a1792d949331bdd8.jpg,14,Яблоки красные,12,Томаты,0.8702,False
train/train\Лук\18387\7d027a94dfdb42738294f9a2f2454ca4.jpg,8,Лук,14,Яблоки красные,0.8659,False
train/train\Капуста\198\b7200b1da000430a969f7aa4cacee346.jpg,4,Капуста,5,Картофель,0.8491,False
train/train\Груши\50911\55fe657883c44e24ae8a93af9fdb6630.jpg,2,Груши,1,Бананы,0.8315,False
train/train\Апельсин\60526\82f0ee4b1a554fbea6f244add9ae1fac.jpg,0,Апельсин,7,Лимон,0.8281,False
train/train\Киви\78647\1b5ef875eee446538554c0e74507df54.jpg,6,Киви,8,Лук,0.8162,False
train/train\Лук\18387\8908b8ff2e9f469dbc3378be58d1f7ba.jpg,8,Лук,14,Яблоки красные,0.8095,False
train/train\Яблоки красные\807\84f61d97dcc5444090fa52390d99a358.jpg,14,Яблоки красные,12,Томаты,0.8077,False
train/train\Лук\18387\b5e2a6b7b2a144ddb6b1977844821205.jpg,8,Лук,14,Яблоки красные,0.7886,False
train/train\Картофель\3953590\05b86d1b93fa402c91b12630b8f0f536.jpg,5,Картофель,11,Огурцы,0.7642,False
train/train\Лук\197\bb5c724d94d44fcd822a00943f7f1ae4.jpg,8,Лук,5,Картофель,0.7538,False
train/train\Лук\197\9b97926b3d3740dbb26d31bc22fa6274.jpg,8,Лук,14,Яблоки красные,0.7456,False
train/train\Киви\78647\0d488dccf1c6447483308639d1dbad9d.jpg,6,Киви,5,Картофель,0.7375,False
train/train\Яблоки зелёные\48188\f3ac2f8ae73c442ca52d9d25e970aeb0.jpg,13,Яблоки зелёные,4,Капуста,0.7275,False
train/train\Лук\197\527974ebecf148329893015940eda9a0.jpg,8,Лук,10,Морковь,0.6786,False
train/train\Апельсин\60526\0f9f691d53794957adc3c4e9a35837c2.jpg,0,Апельсин,7,Лимон,0.6764,False
train/train\Лимон\3294954\5c15a2943a7541d8aae541e2346ab297.jpg,7,Лимон,1,Бананы,0.6607,False
train/train\Лук\2139003\f3a04d3d75734856bf7e7cd5a9694e47.jpg,8,Лук,0,Апельсин,0.6589,False
train/train\Груши\50911\11edc112112e46c3bc559ae188d39f5e.jpg,2,Груши,6,Киви,0.6288,False
train/train\Апельсин\60526\852d9569b0db455b96f239f92b08fc0d.jpg,0,Апельсин,7,Лимон,0.6212,False
train/train\Яблоки красные\4271772\f200fad12c0f473099d086fd79279cce.jpg,14,Яблоки красные,12,Томаты,0.6168,False
train/train\Лук\197\b834f65ee4e54d65a3899afa684cd02a.jpg,8,Лук,13,Яблоки зелёные,0.6155,False
train/train\Груши\50911\df0fb87a8b09476197ed9c32bae13bfa.jpg,2,Груши,8,Лук,0.6139,False
